,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,p5_td,p5_tr,p5_result,p5_opp_id,td_t32,tr_t32,match_dif_t32,match_res_t32,t32_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,p6_td,p6_tr,p6_result,p6_opp_id,td_t64,tr_t64,match_dif_t64,match_res_t64,t64_opp_id,p7_td,p7_tr,p7_result,p7_opp_id,p8_td,p8_tr,p8_result,p8_opp_id
195,23,8,MARIA ALEJANDRA,MARTINEZ HINCAPIE,27,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,454,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,F,I,GN,4,6,0,9,25,0,-16,6,5,2,5,0,310,3,5,0,512,0,5,0,420,3,5,0,1433,1,5,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,MARIA ALEJANDRA MARTINEZ HINCAPIE,5,1.8,-3.2,15,5.4,-9.6,0,0,0,,,,,,,,,,,,,,,,,
196,1,32,VALENTINA,MORA HURTADO,18,COLOMBIA,VALLE,Pothos Club,794,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,F,F,I,NAL,1,4,3,14,6,1,8,1,3,5,0,1,1012,4,2,1,601,5,4,1,814,,,,,,,,,,,,,,,,,,,,,,,,15,2,13,1,1012,15,7,8,1,814,VALENTINA MORA HURTADO,2,4.66666666666667,2.66666666666667,4.25,12.1666666666667,7.91666666666667,1,1,2,,,,,,,,,,,,,,,,,
197,2,26,YOSELIN,GONZALEZ QUIMBAY,18,COLOMBIA,VALLE,Club Deportivo L´Escrime,814,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,F,F,I,NAL,1,3,1,13,12,0.333333333333333,1,3,3,4,5,0,601,5,2,1,1012,4,5,0,794,,,,,,,,,,,,,,,,,,,,,,,,15,8,7,1,601,7,15,-8,0,794,YOSELIN GONZALEZ QUIMBAY,4,4.33333333333333,0.333333333333333,9.75,9.83333333333333,0.083333333333334,0,0,1,,,,,,,,,,,,,,,,,
198,3,20,SOFIA,ARISTIZABAL VALENCIA,14,COLOMBIA,VALLE,Pothos Club,1012,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,F,F,I,NAL,1,1,0,3,14,0,-11,4,3,0,5,0,794,2,5,0,814,1,4,0,601,,,,,,,,,,,,,,,,,,,,,,,,2,15,-13,0,794,,,,,,SOFIA ARISTIZABAL VALENCIA,4.66666666666667,1,-3.66666666666667,11.2222222222222,2,-9.22222222222222,0,0,0,,,,,,,,,,,,,,,,,
199,3,20,ANA CATALINA,GONZÁLEZ ORJUELA,17,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,601,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,F,F,I,NAL,1,2,2,11,9,0.666666666666667,2,2,3,5,4,1,814,2,4,0,794,4,1,1,1012,,,,,,,,,,,,,,,,,,,,,,,,8,15,-7,0,814,,,,,,ANA CATALINA GONZÁLEZ ORJUELA,3,3.66666666666667,0.666666666666667,9,7.55555555555556,-1.44444444444444,1,0,0,,,,,,,,,,,,,,,,,
200,1,32,JHON DEIVID,ARIAS RENDON,17,COLOMBIA,VALLE,Club Olga Quevedo,1114,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,E,M,I,NAL,1,1,4,24,11,0.8,13,1,5,4,5,0,119,5,1,1,286,5,0,1,1102,5,3,1,212,5,2,1,1966,,,,,,,,,,,,,,,,15,13,2,1,212,15,4,11,1,1966,JHON DEIVID ARIAS RENDON,2.2,4.8,2.6,7.55,14.7,7.15,0,0,2,,,,,,,,,,,,,,,,,
201,2,26,SERGIO,GARCES MAFLA,16,COLOMBIA,VALLE,Club Olga Quevedo,1966,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,E,M,I,NAL,1,4,3,21,18,0.6,3,3,5,4,5,0,286,5,2,1,212,5,4,1,119,5,2,1,1102,2,5,0,1114,,,,,,,,,,,15,4,11,1,1102,15,9,6,1,119,4,15,-11,0,1114,SERGIO GARCES MAFLA,3.6,4.2,0.6,9.92,11.84,1.92,0,0,2,,,,,,,,,,,,,,,,,
202,3,20,NICOLAS ORLANDO,FONSECA RAMIREZ,16,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA ORION,212,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,E,M,I,NAL,1,5,2,19,20,0.4,-1,5,5,5,2,1,1102,2,5,0,1966,4,5,0,286,3,5,0,1114,5,3,1,119,,,,,,,,,,,15,8,7,1,286,13,15,-2,0,1114,,,,,,NICOLAS ORLANDO FONSECA RAMIREZ,4,3.8,-0.2,11.75,12.7,0.949999999999999,1,0,1,,,,,,,,,,,,,,,,,
203,3,20,NIKOLAI FELIPE,TORRES MARTINEZ,17,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,119,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,E,M,I,NAL,1,2,3,22,19,0.6,3,2,5,5,4,1,1114,5,2,1,1102,4,5,0,1966,5,3,1,286,3,5,0,212,,,,,,,,,,,,,,,,9,15,-6,0,1966,,,,,,NIKOLAI FELIPE TORRES MARTINEZ,3.8,4.4,0.600000000000001,12.6,11.8,-0.800000000000001,1,1,0,,,,,,,,,,,,,,,,,
204,5,14,TOMAS,CARPINTERO BARRAGAN,15,ECUADOR,CUNDINAMARCA,CLUB DE ESGRIMA SALA DE ARMAS MONTEPINCIO,286,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,E,M,I,NAL,1,3,3,19,22,0.6,-3,4,5,5,4,1,1966,1,5,0,1114,5,4,1,212,3,5,0,119,5,4,1,1102,,,,,,,,,,,8,15,-7,0,212,,,,,,,,,,,TOMAS CARPINTERO BARRAGAN,4.4,3.8,-0.600000000000001,13.8,10.2666666666667,-3.53333333333333,1,0,0,,,,,,,,,,,,,,,,,
205,6,14,JORGE DAVID,GARCIA LOPEZ,15,COLOMBIA,BOGOTA,CLUB ACADEMIA SABRE D´OR,1102,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-25,M15,E,M,I,NAL,1,6,0,10,25,0,-15,6,5,2,5,0,212,2,5,0,119,0,5,0,1114,2,5,0,1966,4,5,0,286,,,,,,,,,,,4,15,-11,0,1966,,,,,,,,,,,JORGE DAVID GARCIA LOPEZ,5,2,-3,15,5.33333333333333,-9.66666666666667,0,0,0,,,,,,,,,,,,,,,,,
206,1,32,ALEJANDRO,BOLAÑOS CAMACHO,18,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,765,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,5,5,29,15,0.833333333333333,14,1,6,5,0,1,1963,5,1,1,2325,5,4,1,806,4,5,0,854,5,2,1,1036,,,,,,,,,,,,,,,,15,3,12,1,2325,15,13,2,1,806,ALEJANDRO BOLAÑOS CAMACHO,2.5,4.83333333333333,2.33333333333333,8.375,15.9583333333333,7.58333333333333,1,1,2,5,3,1,935,,,,,,,,,,,,,
207,2,26,ISAAC,CAMAYO GUERRERO,15,COLOMBIA,VALLE,Pothos Club,806,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,1,4,26,19,0.666666666666667,7,2,6,2,5,0,2325,5,4,1,854,4,5,0,765,5,1,1,1963,5,2,1,935,,,,,,,,,,,15,11,4,1,1036,15,11,4,1,854,13,15,-2,0,765,ISAAC CAMAYO GUERRERO,3.16666666666667,4.33333333333333,1.16666666666667,11.8333333333333,14.6666666666667,2.83333333333333,0,0,2,5,2,1,1036,,,,,,,,,,,,,
208,3,20,JUAN CAMILO,BERMUDEZ GIL,17,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,2325,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,4,3,22,22,0.5,0,5,6,5,2,1,806,1,5,0,765,2,5,0,854,4,5,0,1963,5,4,1,935,,,,,,,,,,,15,12,3,1,935,3,15,-12,0,765,,,,,,JUAN CAMILO BERMUDEZ GIL,3.66666666666667,3.66666666666667,0,13.1666666666667,10.9166666666667,-2.25,1,0,1,5,1,1,1036,,,,,,,,,,,,,
209,3,20,GABRIEL FELIPE,VILLA CASTILLO,18,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,854,"I Escalafón Nacional Infantil,Precadete, Cadete y Juvenil, CAR-Coliseo 3, Calle 63#59A-06 Bogotá",Bogotá,2019-01-26,M15,F,M,I,NAL,1,7,4,26,20,0.666666666666667,6,3,6,4,5,0,806,5,3,1,1963,5,2,1,2325,5,4,1,765,2,5,0,935,,,,,,,,,,,15,2,13,1,1963,11,15,-4,0,806,,,,,,GABRIEL FELIPE VILLA CASTILLO,3.33333333333333,4.33333333333333,1,10.0833333333333,14.0833333333333,4,0,0,1,5,1,1,1036,,,,,,,,,,,,,
