,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,p5_td,p5_tr,p5_result,p5_opp_id,td_t32,tr_t32,match_dif_t32,match_res_t32,t32_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,p6_td,p6_tr,p6_result,p6_opp_id,td_t64,tr_t64,match_dif_t64,match_res_t64,t64_opp_id,p7_td,p7_tr,p7_result,p7_opp_id,p8_td,p8_tr,p8_result,p8_opp_id
0,1,64,SASKIA LORETTA,VAN ERVEN GARCIA,34,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,688,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,4,4,20,2,1,18,1,4,5,1,1,571,5,1,1,472,5,0,1,149,5,0,1,2015,,,,,,,,,,15,1,14,1,1168,15,7,8,1,243,15,6,9,1,51,15,10,5,1,271,SASKIA LORETTA VAN ERVEN GARCIA,0.5,5,4.5,4.41666666666667,14.1666666666667,9.75,1,1,3,,,,,,,,,,,,,,,,,
1,2,52,TATIANA CATALINA,PRIETO ALJURE,33,COLOMBIA,BOGOTA,MOSQUETEROS,271,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,3,5,25,5,1,20,1,5,5,1,1,130,5,2,1,418,5,0,1,475,5,1,1,1278,5,1,1,829,,,,,,15,6,9,1,2341,15,12,3,1,130,15,11,4,1,328,10,15,-5,0,688,TATIANA CATALINA PRIETO ALJURE,1,5,4,8.33333333333333,14.1666666666667,5.83333333333333,1,1,2,,,,,,,,,,,,,,,,,
2,3,40,LAURA JULIETH,GUERRA ACOSTA,24,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,51,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,6,5,25,5,1,20,1,5,5,1,1,629,5,1,1,365,5,0,1,101,5,1,1,1152,5,2,1,243,,,,,,15,7,8,1,126,15,8,7,1,571,6,15,-9,0,688,,,,,,LAURA JULIETH GUERRA ACOSTA,1,5,4,7.2,13.2,6,1,1,1,,,,,,,,,,,,,,,,,
3,3,40,ANGELA CRISTINA,ORJUELA MENDOZA,29,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,328,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,2,4,23,13,0.8,10,1,5,5,3,1,126,5,1,1,612,5,4,1,428,3,5,0,1168,5,0,1,2341,,,,,,15,5,10,1,1152,0,0,0,1,428,11,15,-4,0,271,,,,,,ANGELA CRISTINA ORJUELA MENDOZA,2.6,4.6,2,7.12,10.72,3.6,1,1,1,,,,,,,,,,,,,,,,,
4,5,28,VANESSA,SERNA CAMERO,35,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,428,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,4,4,24,15,0.8,9,2,5,5,1,1,1168,5,3,1,2341,4,5,0,328,5,4,1,612,5,2,1,126,,,,,,12,8,4,1,472,0,0,0,A,328,,,,,,,,,,,VANESSA SERNA CAMERO,3,4.8,1.8,6.5,10.2,3.7,1,1,1,,,,,,,,,,,,,,,,,
5,6,28,INGRID ESTEFANÍA,MENDEZ CASTILLO,25,COLOMBIA,FFAA,"ESCUELA MILITARDE DE CEDETES ""GENERAL JOSE MARIA CORDOVA""",243,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,3,4,22,15,0.8,7,2,5,5,4,1,1152,5,4,1,101,5,0,1,629,5,2,1,365,2,5,0,51,,,,,,15,7,8,1,418,7,15,-8,0,688,,,,,,,,,,,INGRID ESTEFANÍA MENDEZ CASTILLO,3,4.4,1.4,10,12.1,2.1,1,1,1,,,,,,,,,,,,,,,,,
6,7,28,JULIANA,VELASQUEZ AGUDELO,25,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,571,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,3,3,16,7,0.75,9,2,4,1,5,0,688,5,1,1,2015,5,1,1,149,5,0,1,472,,,,,,,,,,15,8,7,1,101,8,15,-7,0,51,,,,,,,,,,,JULIANA VELASQUEZ AGUDELO,1.75,4,2.25,7.9375,10.75,2.8125,0,0,1,,,,,,,,,,,,,,,,,
7,8,28,JULIANA,PINEDA VALENCIA,24,COLOMBIA,BOGOTA,MOSQUETEROS,130,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,4,3,18,12,0.6,6,3,5,1,5,0,271,5,2,1,475,5,0,1,1278,2,5,0,829,5,0,1,418,,,,,,15,9,6,1,829,12,15,-3,0,271,,,,,,,,,,,JULIANA PINEDA VALENCIA,2.4,3.6,1.2,9.6,12.15,2.55,0,0,1,,,,,,,,,,,,,,,,,
8,9,16,MARIA JOSE,FIGUEREDO SIERRA,20,COLOMBIA,VALLE,Pothos Club,829,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,6,3,20,14,0.6,6,2,5,5,2,1,475,5,0,1,1278,4,5,0,418,5,2,1,130,1,5,0,271,,,,,,9,15,-6,0,130,,,,,,,,,,,,,,,,MARIA JOSE FIGUEREDO SIERRA,2.8,4,1.2,10.6,11,0.4,1,1,0,,,,,,,,,,,,,,,,,
9,10,16,CAROLINA MARÍA,VARGAS LEÓN,26,COLOMBIA,BOGOTA,MOSQUETEROS,101,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,1,3,19,16,0.6,3,3,5,5,2,1,365,4,5,0,243,0,5,0,51,5,1,1,629,5,3,1,1152,,,,,,8,15,-7,0,571,,,,,,,,,,,,,,,,CAROLINA MARÍA VARGAS LEÓN,3.2,3.8,0.6,11.4,10.2666666666667,-1.13333333333333,1,0,0,,,,,,,,,,,,,,,,,
10,11,16,PAULA ANDREA,ESCOBAR ZAPATA,31,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO LICEO SALAZAR Y HERRERA,418,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,1,3,17,15,0.6,2,4,5,5,0,1,1278,2,5,0,271,5,4,1,829,5,1,1,475,0,5,0,130,,,,,,7,15,-8,0,243,,,,,,,,,,,,,,,,PAULA ANDREA ESCOBAR ZAPATA,3,3.4,0.4,11,9.13333333333333,-1.86666666666667,1,0,0,,,,,,,,,,,,,,,,,
11,12,16,JUANITA,GUALTERO MOSQUERA,20,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,472,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,5,2,11,13,0.5,-2,3,4,5,1,1,149,1,5,0,688,5,2,1,2015,0,5,0,571,,,,,,,,,,8,12,-4,0,428,,,,,,,,,,,,,,,,JUANITA GUALTERO MOSQUERA,3.25,2.75,-0.5,9.41666666666667,7.25,-2.16666666666667,1,0,0,,,,,,,,,,,,,,,,,
12,13,16,LINA ISABEL,CHAUX ABELLO,23,COLOMBIA,VALLE,SAN SEBASTIAN DE YUMBO,1152,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,4,2,18,18,0.4,0,4,5,4,5,0,243,5,1,1,629,5,2,1,365,1,5,0,51,3,5,0,101,15,5,10,1,475,5,15,-10,0,328,,,,,,,,,,,,,,,,LINA ISABEL CHAUX ABELLO,3.6,3.6,0,10.4,10.4,0,0,0,1,,,,,,,,,,,,,,,,,
13,14,16,LAURA,SANCHEZ CERON,22,COLOMBIA,VALLE,Pothos Club,1168,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,3,2,18,19,0.4,-1,3,5,1,5,0,428,4,5,0,126,3,4,0,2341,5,3,1,328,5,2,1,612,15,10,5,1,612,1,15,-14,0,688,,,,,,,,,,,,,,,,LAURA SANCHEZ CERON,3.8,3.6,-0.2,11.95,9.4,-2.55,0,0,1,,,,,,,,,,,,,,,,,
14,15,16,SOFIA,DÍAZ MARTÍNEZ,21,COLOMBIA,BOGOTA,MOSQUETEROS,126,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,1,2,19,21,0.4,-2,4,5,3,5,0,328,5,4,1,1168,4,5,0,612,5,2,1,2341,2,5,0,428,15,7,8,1,365,7,15,-8,0,51,,,,,,,,,,,,,,,,SOFIA DÍAZ MARTÍNEZ,4.2,3.8,-0.4,11.8,11.2,-0.600000000000001,0,0,1,,,,,,,,,,,,,,,,,
15,16,16,ISABEL,JARAMILLO RUIZ,25,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,2341,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,5,2,14,21,0.4,-7,5,5,5,3,1,612,3,5,0,428,4,3,1,1168,2,5,0,126,0,5,0,328,15,6,9,1,149,6,15,-9,0,271,,,,,,,,,,,,,,,,ISABEL JARAMILLO RUIZ,4.2,2.8,-1.4,11.55,9.45,-2.1,1,0,1,,,,,,,,,,,,,,,,,
16,17,8,MARÍA ALEJANDRA,DÍAZ MARTÍNEZ,23,COLOMBIA,BOGOTA,MOSQUETEROS,149,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,1,1,7,16,0.25,-9,4,4,5,1,1,2015,1,5,0,472,1,5,0,571,0,5,0,688,,,,,6,15,-9,0,2341,,,,,,,,,,,,,,,,,,,,,MARÍA ALEJANDRA DÍAZ MARTÍNEZ,4,1.75,-2.25,11.6666666666667,4.91666666666667,-6.75,1,0,0,,,,,,,,,,,,,,,,,
17,18,8,CLAUDIA ANDREA,PRIETO SOSA,20,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA SALA DE ARMAS MONTEPINCIO,365,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,2,1,12,20,0.2,-8,5,5,2,5,0,101,1,5,0,51,2,5,0,1152,2,5,0,243,5,0,1,629,7,15,-8,0,126,,,,,,,,,,,,,,,,,,,,,CLAUDIA ANDREA PRIETO SOSA,4,2.4,-1.6,13,7.13333333333333,-5.86666666666667,0,0,0,,,,,,,,,,,,,,,,,
18,19,8,LAURA DANIELA,GODOY OLIVERA,24,COLOMBIA,TOLIMA,Universidad de Ibague,612,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,2,6,1,15,24,0.2,-9,6,5,3,5,0,2341,1,5,0,328,5,4,1,126,4,5,0,428,2,5,0,1168,10,15,-5,0,1168,,,,,,,,,,,,,,,,,,,,,LAURA DANIELA GODOY OLIVERA,4.8,3,-1.8,14.6,9.33333333333333,-5.26666666666667,0,0,0,,,,,,,,,,,,,,,,,
19,20,8,LUISA FERNANDA,RINCON ARENAS,21,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,475,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,5,1,10,20,0.2,-10,5,5,2,5,0,829,2,5,0,130,0,5,0,271,1,5,0,418,5,0,1,1278,5,15,-10,0,1152,,,,,,,,,,,,,,,,,,,,,LUISA FERNANDA RINCON ARENAS,4,2,-2,13,5.66666666666667,-7.33333333333333,0,0,0,,,,,,,,,,,,,,,,,
20,21,8,MARIANELLA,FLOREZ LOVERA,22,COLOMBIA,BOGOTA,MOSQUETEROS,2015,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,1,2,0,4,20,0,-16,5,4,1,5,0,149,1,5,0,571,2,5,0,472,0,5,0,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIANELLA FLOREZ LOVERA,5,1,-4,12.5,2.5,-10,0,0,0,,,,,,,,,,,,,,,,,
21,22,8,MARIA FERNANDA,SANCHEZ MONTOYA,18,COLOMBIA,TOLIMA,Club Deportivo de Esgrima,629,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,3,5,0,3,25,0,-22,6,5,1,5,0,51,1,5,0,1152,0,5,0,243,1,5,0,101,0,5,0,365,,,,,,,,,,,,,,,,,,,,,,,,,,MARIA FERNANDA SANCHEZ MONTOYA,5,0.6,-4.4,15,1.8,-13.2,0,0,0,,,,,,,,,,,,,,,,,
22,23,8,ANDREA CAROLINA,ESCOBAR SUÁREZ,32,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,1278,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,F,F,I,GN,4,2,0,1,25,0,-24,6,5,0,5,0,418,0,5,0,829,0,5,0,130,1,5,0,271,0,5,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,ANDREA CAROLINA ESCOBAR SUÁREZ,5,0.2,-4.8,15,0.6,-14.4,0,0,0,,,,,,,,,,,,,,,,,
23,1,64,JHON EDISON,RODRIGUEZ QUEVEDO,31,COLOMBIA,VALLE,valleclub,906,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,6,3,4,23,8,0.8,15,2,5,5,2,1,820,5,1,1,406,3,5,0,439,5,0,1,1874,5,0,1,1368,15,10,5,1,417,15,10,5,1,192,15,10,5,1,432,15,4,11,1,54,15,5,10,1,439,JHON EDISON RODRIGUEZ QUEVEDO,1.6,4.6,3,6.94285714285714,14.6571428571429,7.71428571428571,1,1,5,,,,,,,,,,,,,,,,,
24,2,52,MICHAEL MICHAEL,LOZANO MONTOYA,25,COLOMBIA,TOLIMA,Club de Esgrima Pret,439,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,6,5,5,25,13,1,12,1,5,5,3,1,1368,5,4,1,820,5,3,1,906,5,3,1,406,5,0,1,1874,15,10,5,1,1118,15,12,3,1,405,15,8,7,1,107,15,12,3,1,382,5,15,-10,0,906,MICHAEL MICHAEL LOZANO MONTOYA,2.6,5,2.4,10.3714285714286,13.5714285714286,3.2,1,1,4,,,,,,,,,,,,,,,,,
25,3,40,ANDRES,CAMPOS ZARATE,38,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,382,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,4,2,4,22,12,0.8,10,1,5,5,3,1,89,5,1,1,426,4,3,1,658,3,5,0,417,5,0,1,314,14,8,6,1,203,5,3,2,1,106,15,10,5,1,440,12,15,-3,0,439,,,,,,ANDRES CAMPOS ZARATE,2.4,4.4,2,8.4,12.0666666666667,3.66666666666667,1,1,3,,,,,,,,,,,,,,,,,
26,3,40,GUSTAVO ADOLFO,COQUECO GUERRERO,36,COLOMBIA,BOGOTA,GUSTAVO COQUECO FENCING ACADEMY,54,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,3,2,5,25,12,1,13,1,5,5,4,1,456,5,0,1,107,5,2,1,110,5,2,1,639,5,4,1,1952,15,7,8,1,131,15,9,6,1,246,15,11,4,1,442,4,15,-11,0,906,,,,,,GUSTAVO ADOLFO COQUECO GUERRERO,2.4,5,2.6,9.4,13.1666666666667,3.76666666666667,1,1,3,,,,,,,,,,,,,,,,,
27,5,28,HERNANDO,ROA RODRIGUEZ,26,COLOMBIA,VALLE,Club Olga Quevedo,432,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,2,1,4,24,11,0.8,13,1,5,5,1,1,155,5,2,1,523,4,5,0,337,5,0,1,654,5,3,1,266,15,1,14,1,523,13,12,1,1,1358,10,15,-5,0,906,,,,,,,,,,,HERNANDO ROA RODRIGUEZ,2.2,4.8,2.6,8.24,13.36,5.12,1,1,2,,,,,,,,,,,,,,,,,
28,6,28,MANUEL ALEJANDRO,REYES ALVAREZ,29,COLOMBIA,TOLIMA,Club de Esgrima Pret,442,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,7,6,4,22,13,0.8,9,1,5,5,3,1,203,5,3,1,845,2,4,0,1358,5,2,1,1993,5,1,1,1147,15,7,8,1,1569,15,12,3,1,426,11,15,-4,0,54,,,,,,,,,,,MANUEL ALEJANDRO REYES ALVAREZ,2.6,4.4,1.8,9.92,13.48,3.56,1,1,2,,,,,,,,,,,,,,,,,
29,7,28,ARTHUR ANDREY,PINILLA POLANCO,27,COLOMBIA,TOLIMA,Club de Esgrima Pret,440,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,,,,,,,,,,5,3,1,305,5,0,1,290,2,5,0,2397,5,3,1,1118,5,4,1,568,15,12,3,1,86,15,8,7,1,658,10,15,-5,0,382,,,,,,,,,,,ARTHUR ANDREY PINILLA POLANCO,,4.4,,11.6666666666667,11.1,-0.566666666666666,1,1,2,,,,,,,,,,,,,,,,,
30,8,28,SANTIAGO,JURADO SOSSA,24,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,107,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,3,6,3,18,16,0.6,2,2,5,5,1,1,1952,0,5,0,54,3,5,0,456,5,1,1,110,5,4,1,639,15,13,2,1,845,15,10,5,1,527,8,15,-7,0,439,,,,,,,,,,,SANTIAGO JURADO SOSSA,3.2,3.6,0.4,11.44,11.92,0.479999999999999,1,0,2,,,,,,,,,,,,,,,,,
31,9,16,ANDRES,MURILLO BERRIO,32,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,527,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,5,1,4,23,14,0.8,9,1,5,5,2,1,106,4,3,1,383,5,3,1,131,5,1,1,316,4,5,0,192,15,5,10,1,305,10,15,-5,0,107,,,,,,,,,,,,,,,,ANDRES MURILLO BERRIO,2.8,4.6,1.8,9.2,13.15,3.95,1,1,1,,,,,,,,,,,,,,,,,
32,10,16,JAIME LEONARDO,RODRIGUEZ STERLING,35,COLOMBIA,VALLE,VENCEDORES,426,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,4,6,4,21,12,0.8,9,2,5,5,1,1,314,1,5,0,382,5,0,1,89,5,2,1,658,5,4,1,417,15,14,1,1,110,12,15,-3,0,442,,,,,,,,,,,,,,,,JAIME LEONARDO RODRIGUEZ STERLING,2.4,4.2,1.8,10.85,13.05,2.2,1,0,1,,,,,,,,,,,,,,,,,
33,11,16,JOHN ALEXANDER,GONZÁLEZ SILVA,36,COLOMBIA,VALLE,valleclub,106,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,5,2,4,22,14,0.8,8,2,5,2,5,0,527,5,1,1,131,5,3,1,192,5,2,1,383,5,3,1,316,15,9,6,1,337,3,5,-2,0,382,,,,,,,,,,,,,,,,JOHN ALEXANDER GONZÁLEZ SILVA,2.8,4.4,1.6,7.7,11.1,3.4,0,0,1,,,,,,,,,,,,,,,,,
34,11,16,JAVIER ORLANDO,SUAREZ ALONSO,42,COLOMBIA,BOGOTA,bogotaclub,1358,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,7,1,4,22,14,0.8,8,3,5,4,5,0,845,5,1,1,1147,4,2,1,442,4,3,1,203,5,3,1,1993,15,6,9,1,820,12,13,-1,0,432,,,,,,,,,,,,,,,,JAVIER ORLANDO SUAREZ ALONSO,2.8,4.4,1.6,8.95,13.35,4.4,0,0,1,,,,,,,,,,,,,,,,,
35,13,16,KEVIN,RESTREPO GARCIA,23,COLOMBIA,CALDAS,TOUCHE,192,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,5,4,4,23,16,0.8,7,3,5,5,3,1,383,5,2,1,316,3,5,0,106,5,2,1,131,5,4,1,527,15,13,2,1,568,10,15,-5,0,906,,,,,,,,,,,,,,,,KEVIN RESTREPO GARCIA,3.2,4.6,1.4,11.8,13.15,1.35,1,1,1,,,,,,,,,,,,,,,,,
36,14,16,WILLIAM EULOGIO,GONZALEZ TABORDA,51,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,246,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,1,3,4,28,16,0.666666666666667,12,2,6,5,1,1,643,5,3,1,1113,4,5,0,405,5,0,1,86,5,2,1,1154,15,14,1,1,155,9,15,-6,0,54,,,,,,,,,,,,,,,,WILLIAM EULOGIO GONZALEZ TABORDA,2.66666666666667,4.66666666666667,2,11.9166666666667,14.1666666666667,2.25,1,1,1,4,5,0,1569,,,,,,,,,,,,,
37,15,16,SIMON,LOMBANA MARTINEZ,19,COLOMBIA,BOGOTA,Club Deportivo Braveness,405,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,1,4,4,28,22,0.666666666666667,6,3,6,4,5,0,86,5,4,1,1154,5,4,1,246,5,2,1,643,4,5,0,1113,15,12,3,1,2397,12,15,-3,0,439,,,,,,,,,,,,,,,,SIMON LOMBANA MARTINEZ,3.66666666666667,4.66666666666667,1,13.1666666666667,14.9166666666667,1.75,0,0,1,5,2,1,1569,,,,,,,,,,,,,
38,16,16,PABLO ANDRES,ZAPATA ROJAS,20,COLOMBIA,RISARALDA,club deportivo Sables de Paz,658,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,4,4,2,16,17,0.4,-1,4,5,1,5,0,417,5,3,1,314,3,4,0,382,2,5,0,426,5,0,1,89,15,10,5,1,1113,8,15,-7,0,440,,,,,,,,,,,,,,,,PABLO ANDRES ZAPATA ROJAS,3.4,3.2,-0.2,10.48,10.04,-0.44,0,0,2,,,,,8,7,1,1,314,,,,,,,,
39,17,8,YAIM,LOZANO LOZANO,20,COLOMBIA,VALLE,Club Olga Quevedo,1113,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,1,2,5,28,17,0.833333333333333,11,1,6,5,0,1,1154,3,5,0,246,5,4,1,643,5,3,1,1569,5,4,1,405,10,15,-5,0,658,,,,,,,,,,,,,,,,,,,,,YAIM LOZANO LOZANO,2.83333333333333,4.66666666666667,1.83333333333333,11.6111111111111,14.2222222222222,2.61111111111111,1,0,0,5,1,1,86,,,,,,,,,,,,,
40,18,8,ESTEBAN CAMILO,JAIME AMAYA,23,COLOMBIA,BOGOTA,CENTRO DEPORTIVO BLAS DE LEZO,845,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,7,2,4,23,15,0.8,8,2,5,5,4,1,1358,3,5,0,442,5,2,1,1993,5,2,1,1147,5,2,1,203,13,15,-2,0,107,,,,,,,,,,,,,,,,,,,,,ESTEBAN CAMILO JAIME AMAYA,3,4.6,1.6,11,13.5333333333333,2.53333333333333,1,0,0,,,,,,,,,,,,,,,,,
41,19,8,DIEGO YEZID,ALBARAN MONTOYA,43,COLOMBIA,BOGOTA,MOSQUETEROS,838,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIEGO YEZID ALBARAN MONTOYA,,,,,,,,,0,,,,,,,,,,,,,,,,,
42,19,8,IVAN DAVID,CANO JIMENEZ,13,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,2397,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,,,,,,,,,,3,3,1,568,5,4,1,1118,5,2,1,440,3,5,0,305,5,0,1,290,12,15,-3,0,405,,,,,,,,,,,,,,,,,,,,,IVAN DAVID CANO JIMENEZ,,4.2,,15,8.1,-6.9,1,1,0,,,,,,,,,,,,,,,,,
43,20,8,CAMILO RICARDO,SALAZAR OLARTE,54,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,155,GRAN CAMPEONATO NACIONAL DE MAYORES INDIVIDUAL Y POR EQUIPOS,MEDELLIN,2018-08-18,S,E,M,I,GN,2,2,4,21,18,0.8,3,2,5,1,5,0,432,5,4,1,337,5,4,1,266,5,2,1,523,5,3,1,654,14,15,-1,0,246,,,,,,,,,,,,,,,,,,,,,CAMILO RICARDO SALAZAR OLARTE,3.6,4.2,0.6,12.2,13.0666666666667,0.866666666666667,0,0,0,,,,,,,,,,,,,,,,,
