,POS,points,first name,last name,age,country,liga,club,id,comp,place,date,category,weapon,gender,event,type,Poule,poule_order,PVICT,PTD,PTR,PIND,PT-DIFF,rank_poule,p_matches,p1_td,p1_tr,p1_result,p1_opp_id,p2_td,p2_tr,p2_result,p2_opp_id,p3_td,p3_tr,p3_result,p3_opp_id,p4_td,p4_tr,p4_result,p4_opp_id,td_t16,tr_t16,match_dif_t16,match_res_t16,t16_opp_id,td_t8,tr_t8,match_dif_t8,match_res_t8,t8_opp_id,td_semi,tr_semi,match_dif_semi,match_res_semi,semi_opp_id,td_final,tr_final,match_dif_final,match_res_final,final_opp_id,name,PMTR,PMTD,PMT-DIFF,TTR,TTD,TMT-DIFF,PM1V%,PM1&2V%,TMV,TMV%
19,10,8,IVANA GABRIELA,CANO JIMÉNEZ,15,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,1318,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,03-09-2021,J,E,F,I,NAL,1,2,1,11,18,0.25,-7,4,4,2,5,0,1141,3,5,0,920,1,5,0,249,5.0,3.0,1.0,2893.0,11.0,15.0,-4.0,0.0,920.0,,,,,,,,,,,,,,,,IVANA GABRIELA CANO JIMÉNEZ,4.5,2.75,-1.75,12.5,8.25,-4.25,0,0,0.0,0.0
20,11,8,NATY MILENA,ANGULO GARCES,19,COLOMBIA,VALLE,Club de Esgrima Buenaventura,3070,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,03-09-2021,J,E,F,I,NAL,3,5,1,10,19,0.25,-9,4,4,2,5,0,3185,3,5,0,1488,5,4,1,1101,0.0,5.0,0.0,924.0,9.0,15.0,-6.0,0.0,249.0,,,,,,,,,,,,,,,,NATY MILENA ANGULO GARCES,4.75,2.5,-2.25,12.916666666666666,7.166666666666667,-5.749999999999999,0,0,0.0,0.0
21,12,8,MANUELA,CARDONA GONZALEZ,18,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,2903,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,03-09-2021,J,E,F,I,NAL,2,3,1,7,16,0.25,-9,4,4,0,5,0,941,5,1,1,274,2,5,0,310,0.0,5.0,0.0,501.0,3.0,15.0,-12.0,0.0,501.0,,,,,,,,,,,,,,,,MANUELA CARDONA GONZALEZ,4.0,1.75,-2.25,11.666666666666666,3.9166666666666665,-7.75,0,0,0.0,0.0
22,13,8,SOPHIA ALEJANDRA,ROJAS LOPEZ,19,COLOMBIA,BOGOTA,MOSQUETEROS,1101,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,03-09-2021,J,E,F,I,NAL,3,2,0,12,20,0.0,-8,5,4,4,5,0,3185,3,5,0,924,4,5,0,3070,1.0,5.0,0.0,1488.0,4.0,15.0,-11.0,0.0,1488.0,,,,,,,,,,,,,,,,SOPHIA ALEJANDRA ROJAS LOPEZ,5.0,3.0,-2.0,13.333333333333334,6.333333333333333,-7.000000000000001,0,0,0.0,0.0
23,14,8,SOFIA,ZULUAGA ZULUAGA,15,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,2893,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,03-09-2021,J,E,F,I,NAL,1,4,0,7,20,0.0,-13,5,4,1,5,0,920,2,5,0,249,1,5,0,1141,3.0,5.0,0.0,1318.0,9.0,15.0,-6.0,0.0,924.0,,,,,,,,,,,,,,,,SOFIA ZULUAGA ZULUAGA,5.0,1.75,-3.25,13.333333333333334,5.916666666666667,-7.416666666666667,0,0,0.0,0.0
24,15,8,NATALIA SOFIA,VALDERRAMA ALVARADO,19,COLOMBIA,BOGOTA,Club Deportivo Braveness,274,"III Copa Nal Abierta Interligas e Interclubes categorías Precadetes, Cadete, Juvenil y Mayores Individual Equipos",Bogotá,03-09-2021,J,E,F,I,NAL,2,2,0,6,19,0.0,-13,5,4,2,4,0,310,1,5,0,2903,1,5,0,501,2.0,5.0,0.0,941.0,6.0,15.0,-9.0,0.0,1141.0,,,,,,,,,,,,,,,,NATALIA SOFIA VALDERRAMA ALVARADO,4.75,1.5,-3.25,12.916666666666666,4.5,-8.416666666666666,0,0,0.0,0.0
25,1,32,CARMEN ANDREA,CORREA SANTA,17,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,941,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,1,2,3,15,4,1.0,11,1,3,5,1,1,1210,5,1,1,85,5,2,1,1016,,,,,,,,,,15.0,9.0,6.0,1.0,249.0,15.0,14.0,1.0,1.0,3906.0,15.0,7.0,8.0,1.0,85.0,CARMEN ANDREA CORREA SANTA,1.3333333333333333,5.0,3.666666666666667,7.066666666666667,13.0,5.933333333333333,1,1,3.0,1.0
26,2,26,MARIA ALEJANDRA,SOLERA NEGRETE,16,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,85,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,1,4,2,11,9,0.6666666666666666,2,2,3,5,1,1,1016,1,5,0,941,5,3,1,1210,,,,,,,,,,15.0,9.0,6.0,1.0,1016.0,15.0,14.0,1.0,1.0,501.0,7.0,15.0,-8.0,0.0,941.0,MARIA ALEJANDRA SOLERA NEGRETE,3.0,3.6666666666666665,0.6666666666666665,10.0,10.333333333333332,0.33333333333333215,1,0,2.0,0.6666666666666666
27,3,20,DAYANNA GRACIELA,RAMÍREZ GUEVARA,17,EL SALVADOR,EL SALVADOR,Sin club,3906,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,2,1,1,8,9,0.3333333333333333,-1,3,3,5,2,1,249,2,5,0,501,1,2,0,178,,,,,,,,,,15.0,10.0,5.0,1.0,178.0,14.0,15.0,-1.0,0.0,941.0,,,,,,DAYANNA GRACIELA RAMÍREZ GUEVARA,3.0,2.6666666666666665,-0.3333333333333335,9.25,9.916666666666666,0.6666666666666661,1,0,1.0,0.3333333333333333
28,3,20,VALENTINA,TRIANA CEBALLOS,18,COLOMBIA,VALLE,Club Olga Quevedo,501,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,2,3,3,15,7,1.0,8,1,3,5,2,1,178,5,2,1,3906,5,3,1,249,,,,,,,,,,15.0,4.0,11.0,1.0,1210.0,14.0,15.0,-1.0,0.0,85.0,,,,,,VALENTINA TRIANA CEBALLOS,2.3333333333333335,5.0,2.6666666666666665,7.083333333333333,12.25,5.166666666666667,1,1,1.0,0.3333333333333333
29,5,14,ANA MARIA,RAMIREZ QUINTERO,18,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA SALA DE ARMAS MONTEPINCIO,178,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,2,2,2,9,8,0.6666666666666666,1,2,3,2,5,0,501,5,2,1,249,2,1,1,3906,,,,,,,,,,10.0,15.0,-5.0,0.0,3906.0,,,,,,,,,,,ANA MARIA RAMIREZ QUINTERO,2.6666666666666665,3.0,0.3333333333333335,8.555555555555555,7.333333333333333,-1.2222222222222223,0,0,0.0,0.0
30,6,14,ISABELLA,MALAGON CAMPOS,15,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,1016,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,1,1,1,8,13,0.3333333333333333,-5,3,3,1,5,0,85,5,3,1,1210,2,5,0,941,,,,,,,,,,9.0,15.0,-6.0,0.0,85.0,,,,,,,,,,,ISABELLA MALAGON CAMPOS,4.333333333333333,2.6666666666666665,-1.6666666666666665,10.777777777777779,6.555555555555556,-4.222222222222222,0,0,0.0,0.0
31,7,14,MANUELA,GARCIA MARTINEZ,15,COLOMBIA,CUNDINAMARCA,CLUB DE ESGRIMA SALA DE ARMAS MONTEPINCIO,1210,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,1,3,0,7,15,0.0,-8,4,3,1,5,0,941,3,5,0,1016,3,5,0,85,,,,,,,,,,4.0,15.0,-11.0,0.0,501.0,,,,,,,,,,,MANUELA GARCIA MARTINEZ,5.0,2.3333333333333335,-2.6666666666666665,11.666666666666666,4.444444444444445,-7.222222222222221,0,0,0.0,0.0
32,7,14,ISABELLA,GONZALEZ RODRÍGUEZ,15,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,249,"COPA NACIONAL VALLEDUPAR , PRECADETES,CADETES,JUVENIL Y MAYORES - IND Y EQU",Valledupar,20-11-2021,J,E,F,I,NAL,2,4,0,7,15,0.0,-8,4,3,2,5,0,3906,2,5,0,178,3,5,0,501,,,,,,,,,,9.0,15.0,-6.0,0.0,941.0,,,,,,,,,,,ISABELLA GONZALEZ RODRÍGUEZ,5.0,2.3333333333333335,-2.6666666666666665,11.666666666666666,6.111111111111111,-5.555555555555555,0,0,0.0,0.0
33,1,32,PAULA ISABELLA,CASTRO NIAMPIRA,16,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,1488,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,2,1,4,20,9,1.0,11,1,4,5,2,1,1236,5,4,1,920,5,1,1,2893,5.0,2.0,1.0,2903.0,,,,,,15.0,6.0,9.0,1.0,2906.0,15.0,10.0,5.0,1.0,249.0,14.0,9.0,5.0,1.0,85.0,PAULA ISABELLA CASTRO NIAMPIRA,2.25,5.0,2.75,7.25,13.8,6.550000000000001,1,1,3.0,0.75
34,2,26,MARIA ALEJANDRA,SOLERA NEGRETE,16,COLOMBIA,BOGOTA,CLUB DE ESGRIMA SPARTACUS,85,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,1,3,3,19,16,0.75,3,1,4,4,5,0,2926,5,4,1,249,5,4,1,2906,5.0,3.0,1.0,1016.0,,,,,,15.0,9.0,6.0,1.0,2926.0,15.0,11.0,4.0,1.0,920.0,9.0,14.0,-5.0,0.0,1488.0,MARIA ALEJANDRA SOLERA NEGRETE,4.0,4.75,0.75,10.8,12.55,1.75,0,0,2.0,0.5
35,3,20,ISABELLA,GONZALEZ RODRÍGUEZ,15,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,249,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,1,2,2,17,16,0.5,1,2,4,5,3,1,2906,4,5,0,85,3,5,0,1016,5.0,3.0,1.0,2926.0,,,,,,10.0,9.0,1.0,1.0,1016.0,10.0,15.0,-5.0,0.0,1488.0,,,,,,ISABELLA GONZALEZ RODRÍGUEZ,4.0,4.25,0.25,11.0,10.3125,-0.6875,1,0,1.0,0.25
36,3,20,CLAUDIA PATRICIA,MINA LOZANO,19,COLOMBIA,VALLE,VENCEDORES,920,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,2,5,3,19,13,0.75,6,2,4,4,5,0,1488,5,2,1,2903,5,3,1,1236,5.0,3.0,1.0,2893.0,,,,,,15.0,4.0,11.0,1.0,2903.0,11.0,15.0,-4.0,0.0,85.0,,,,,,CLAUDIA PATRICIA MINA LOZANO,3.25,4.75,1.5,8.8125,12.4375,3.625,0,0,1.0,0.25
37,5,14,ISABELLA,MALAGON CAMPOS,15,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,1016,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,1,5,2,16,15,0.5,1,3,4,3,5,0,2906,5,2,1,2926,5,3,1,249,3.0,5.0,0.0,85.0,,,,,,9.0,10.0,-1.0,0.0,249.0,,,,,,,,,,,ISABELLA MALAGON CAMPOS,3.75,4.0,0.25,9.583333333333334,9.666666666666666,0.08333333333333215,0,0,0.0,0.0
38,6,14,NAHOMY ALEXANDRA,CORREA MERA,18,COLOMBIA,VALLE,Club Olga Quevedo,2926,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,1,4,2,15,16,0.5,-1,4,4,5,4,1,85,2,5,0,1016,5,2,1,2906,3.0,5.0,0.0,249.0,,,,,,9.0,15.0,-6.0,0.0,85.0,,,,,,,,,,,NAHOMY ALEXANDRA CORREA MERA,4.0,3.75,-0.25,11.666666666666666,9.25,-2.416666666666666,1,0,0.0,0.0
39,7,14,VALERIA,HERNANDEZ VASCO,15,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,2906,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,1,1,1,14,18,0.25,-4,5,4,3,5,0,249,5,3,1,1016,4,5,0,85,2.0,5.0,0.0,2926.0,15.0,12.0,3.0,1.0,1236.0,6.0,15.0,-9.0,0.0,1488.0,,,,,,,,,,,VALERIA HERNANDEZ VASCO,4.5,3.5,-1.0,12.375,9.625,-2.75,0,0,1.0,0.25
40,8,14,MANUELA,CARDONA GONZALEZ,18,COLOMBIA,ANTIOQUIA,CLUB DEPORTIVO TIZONA,2903,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,2,4,0,11,20,0.0,-9,5,4,3,5,0,2893,2,5,0,920,2,5,0,1488,4.0,5.0,0.0,1236.0,15.0,14.0,1.0,1.0,2893.0,4.0,15.0,-11.0,0.0,920.0,,,,,,,,,,,MANUELA CARDONA GONZALEZ,5.0,2.75,-2.25,13.5,8.1875,-5.3125,0,0,1.0,0.25
41,9,8,SOFIA,ZULUAGA ZULUAGA,15,COLOMBIA,ANTIOQUIA,ESGRIMA FENCING CLUB,2893,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,2,3,2,14,17,0.5,-3,3,4,5,3,1,2903,5,4,1,1236,1,5,0,1488,3.0,5.0,0.0,920.0,14.0,15.0,-1.0,0.0,2903.0,,,,,,,,,,,,,,,,SOFIA ZULUAGA ZULUAGA,4.25,3.5,-0.75,12.083333333333334,10.5,-1.583333333333334,1,1,0.0,0.0
42,10,8,ANA MARIA,CASTILLO GUTIERREZ,19,COLOMBIA,CUNDINAMARCA,CLUB GUARDIA REAL CHIA,1236,Copa Nacional Abierta Interligas e Interclubes,Cali,26-02-2022,J,E,F,I,NAL,2,2,1,14,19,0.25,-5,4,4,2,5,0,1488,4,5,0,2893,3,5,0,920,5.0,4.0,1.0,2903.0,12.0,15.0,-3.0,0.0,2906.0,,,,,,,,,,,,,,,,ANA MARIA CASTILLO GUTIERREZ,4.75,3.5,-1.25,12.916666666666666,9.833333333333334,-3.083333333333332,0,0,0.0,0.0
