,final_pos,points,name,age,country,id,competition,place,date,category,weapon,gender,event,type,td_pre128,tr_pre128,opp_pre128,match_dif_pre128,match_res_pre128,td_pre64,tr_pre64,opp_pre64,match_dif_pre64,match_res_pre64,td_t64,tr_t64,opp_t64,match_dif_t64,match_res_t64,td_t32,tr_t32,opp_t32,match_dif_t32,match_res_t32,td_t16,tr_t16,opp_t16,match_dif_t16,match_res_t16,td_t8,tr_t8,opp_t8,match_dif_t8,match_res_t8,td_semi,tr_semi,opp_semi,match_dif_semi,match_res_semi,td_final,tr_final,opp_final,match_dif_final,match_res_final,rank_poule,poule_vict,M,td_polues,tr_poules,poule_ind,p_diff,poule_order,p1,p2,p3,p4,p5,p6,p_matches,p1_result,p1_td,p1_tr,p1_opp,p2_result,p2_td,p2_tr,p2_opp,p3_result,p3_td,p3_tr,p3_opp,p4_result,p4_td,p4_tr,p4_opp,p5_result,p5_td,p5_tr,p5_opp,p6_result,p6_td,p6_tr,p6_opp,td_pre256,tr_pre256,opp_pre256,match_dif_pre256,match_res_pre256
46,47,2.0,SUZANNE Coline,23,FRA,suzannecoli,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,11.0,brind'amour,4.0,V,9.0,15.0,funkejulika,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,4.0,5.0,20.0,16.0,0.8,4.0,3.0,D/0,V/5,V/5,V/5,V/5,,5.0,V,5.0,2.0,ciaragliaso,D,0.0,5.0,weenicolesh,V,5.0,1.0,livanoueiri,V,5.0,4.0,potz-nagyfa,V,5.0,4.0,eiflerlaris,,,,,,,,,
47,48,2.0,KOZACZUK Malgorzata,33,POL,kozaczukmal,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,15.0,13.0,kruegerlea,2.0,V,9.0,15.0,garganorebe,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,4.0,6.0,27.0,14.0,0.667,13.0,7.0,D/4,V/5,V/5,D/3,V/5,V/5,6.0,D,4.0,5.0,ozakiseri,V,5.0,0.0,palaskaagni,V,5.0,2.0,leekarmoon,V,5.0,0.0,chuwingkiu,D,3.0,2.0,davisalexan,D,3.0,5.0,kosefatmaze,,,,,
48,49,2.0,GREENBAUM Atara,19,USA,greenbaumat,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,leejoliekar,7.0,V,15.0,14.0,erbilnisanu,1.0,V,7.0,15.0,balzersara,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,4.0,6.0,26.0,18.0,0.667,8.0,2.0,V/5,D/4,V/5,D/2,V/5,V/5,6.0,D,2.0,5.0,hramovaolga,D,4.0,5.0,mayingjia,V,5.0,1.0,sarybayaige,V,5.0,3.0,gutierrezro,V,5.0,0.0,doukaanna,V,5.0,4.0,unludagdeni,,,,,
49,50,2.0,OZAKI Seri,19,JPN,ozakiseri,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,3.0,pottersophi,12.0,V,15.0,2.0,kobayashika,13.0,V,14.0,15.0,martin-port,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,4.0,6.0,23.0,17.0,0.667,6.0,1.0,D/2,V/5,D/1,V/5,V/5,V/5,6.0,D,1.0,5.0,kosefatmaze,V,5.0,4.0,kozaczukmal,V,5.0,2.0,leekarmoon,V,5.0,0.0,davisalexan,V,5.0,1.0,palaskaagni,D,2.0,5.0,chuwingkiu,,,,,
50,51,2.0,RUSSO Francesca,26,USA,russofrance,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,7.0,hernandezel,8.0,V,15.0,7.0,bunyatovase,8.0,V,13.0,15.0,pagegabriel,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,4.0,6.0,24.0,22.0,0.667,2.0,6.0,V/5,D/2,V/5,D/2,V/5,V/5,6.0,V,5.0,4.0,vongsavadym,V,5.0,2.0,alexandresc,D,2.0,5.0,jeonhayoung,D,2.0,5.0,guoyiqi,V,5.0,3.0,buerkertann,V,5.0,2.0,alexandresc,,,,,
51,52,2.0,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,28,IND,chadalavada,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,leunglokman,7.0,V,15.0,12.0,gordontamar,3.0,V,11.0,15.0,crisciomart,-4.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,3.0,5.0,23.0,14.0,0.6,9.0,6.0,V/5,V/5,D/4,V/5,D/4,,5.0,D,4.0,5.0,baldozoemar,V,5.0,3.0,laszloluca,V,5.0,0.0,LYTINA Ekaterini,V,5.0,1.0,looheidiyan,D,4.0,5.0,jeoneunhye,,,,,,,,,
52,53,2.0,LEE Alexandra,17,USA,leealexandr,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,baldozoemar,7.0,V,15.0,8.0,contreraspa,7.0,V,7.0,15.0,tamuranorik,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,3.0,5.0,21.0,14.0,0.6,7.0,1.0,D/2,D/4,V/5,V/5,V/5,,5.0,D,2.0,5.0,mateimaria,D,4.0,5.0,kruegerlea,V,5.0,2.0,hernandezel,V,5.0,1.0,clapierfaus,V,5.0,1.0,mormilechia,,,,,,,,,
53,53,2.0,SANO Yui,21,JPN,sanoyui,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,7.0,looheidiyan,8.0,V,15.0,7.0,kanekoyuina,8.0,V,9.0,15.0,querolicaro,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,3.0,5.0,21.0,14.0,0.6,7.0,4.0,D/4,V/5,V/5,V/5,D/2,,5.0,V,5.0,1.0,tartakovsky,V,5.0,0.0,tariccobene,V,5.0,3.0,luteatania,D,2.0,5.0,perezcuenca,D,4.0,5.0,leejoliekar,,,,,,,,,
54,55,2.0,KAKHIANI-MECKLING Teodora,28,GEO,kakhiani-me,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,lamhinwai,7.0,V,15.0,13.0,battaisugar,2.0,V,12.0,15.0,choisooyeon,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,3.0,5.0,20.0,16.0,0.6,4.0,1.0,V/5,V/5,V/5,D/2,D/3,,5.0,V,5.0,1.0,gazepidimar,V,5.0,3.0,ongjessicas,D,3.0,5.0,lucariniluc,D,2.0,5.0,funkejulika,V,5.0,2.0,herreralara,,,,,,,,,
55,56,2.0,PEREZ CUENCA Celia,28,ESP,perezcuenca,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,6.0,ongjessicas,9.0,V,15.0,14.0,carvalhoisa,1.0,V,8.0,15.0,bashtaanna,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,3.0,5.0,19.0,15.0,0.6,4.0,6.0,V/5,V/5,D/1,V/5,D/3,,5.0,D,3.0,5.0,tariccobene,V,5.0,1.0,luteatania,V,5.0,2.0,LEE Jolie Kar Yi,V,5.0,2.0,sanoyui,D,1.0,5.0,tartakovsky,,,,,,,,,
56,57,2.0,WATOR Angelika,28,POL,watorangeli,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,9.0,mateimaria,6.0,V,15.0,14.0,clapierfaus,1.0,V,4.0,15.0,georgiadoud,-11.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,3.0,5.0,21.0,21.0,0.6,0.0,5.0,D/2,V/5,D/4,V/5,V/5,,5.0,V,5.0,3.0,carvalhoisa,V,5.0,4.0,iacobfelici,D,4.0,5.0,ponichmaris,D,2.0,5.0,arpinogiuli,V,5.0,4.0,daykinkate,,,,,,,,,
57,58,2.0,JIJIEISHVILI Lika,22,GEO,jijieishvil,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,7.0,daykinkate,8.0,V,15.0,14.0,laszloluca,1.0,V,8.0,15.0,stoneanne-e,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,3.0,6.0,26.0,23.0,0.5,3.0,1.0,V/5,D/4,D/4,V/5,D/3,V/5,6.0,D,4.0,5.0,westwellamy,V,5.0,2.0,mpenouklair,V,5.0,4.0,gimalacmarg,D,4.0,5.0,kanekoyuina,D,3.0,5.0,seojiyeon,V,5.0,2.0,derkumliska,,,,,
58,59,2.0,HENG Juliet Jie Min,16,SGP,hengjulietj,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,6.0,gasparingiu,9.0,V,15.0,10.0,linderkara,5.0,V,9.0,15.0,gkountourat,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,3.0,6.0,20.0,21.0,0.5,-1.0,6.0,V/5,D/2,V/5,V/5,D/2,D/1,6.0,V,5.0,2.0,corteynjoli,D,1.0,5.0,navarroarac,D,2.0,5.0,sasakiharun,V,5.0,4.0,gogouelenil,V,5.0,0.0,saraamanal,D,2.0,5.0,navarroarac,,,,,
59,60,2.0,SARYBAY Aigerim,25,KAZ,sarybayaige,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,11.0,gimalacmarg,4.0,V,15.0,8.0,ilievayoana,7.0,V,8.0,15.0,gregorioros,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,3.0,6.0,19.0,22.0,0.5,-3.0,6.0,D/1,D/1,V/5,V/5,D/2,V/5,6.0,V,5.0,2.0,mayingjia,V,5.0,4.0,gutierrezro,D,1.0,5.0,greenbaumat,V,5.0,1.0,doukaanna,D,1.0,5.0,unludagdeni,D,2.0,4.0,gutierrezro,,,,,
60,61,2.0,CIARAGLIA Sofia,26,ITA,ciaragliaso,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,4.0,davisalexan,11.0,V,15.0,12.0,vongsavadym,3.0,V,14.0,15.0,yoonjisu,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,2.0,5.0,20.0,17.0,0.4,3.0,4.0,D/4,V/5,D/2,V/5,D/4,,5.0,D,2.0,5.0,suzannecoli,V,5.0,0.0,livanoueiri,V,5.0,2.0,potz-nagyfa,D,4.0,5.0,eiflerlaris,D,4.0,5.0,weenicolesh,,,,,,,,,
61,62,2.0,SKARBONKIEWICZ Magda,16,USA,skarbonkiew,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,10.0,sasakiharun,5.0,V,15.0,9.0,szucsluca,6.0,V,8.0,15.0,kimjiyeon,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,2.0,6.0,20.0,24.0,0.333,-4.0,7.0,D/3,D/1,D/2,D/4,V/5,V/5,6.0,D,3.0,5.0,lupuandreea,V,5.0,2.0,venturamari,V,5.0,2.0,vasilevaver,D,1.0,5.0,balzersara,D,4.0,5.0,christeaart,D,4.0,5.0,kobayashika,,,,,
62,63,2.0,WAKITA Jumi,22,JPN,wakitajumi,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,0.0,0.0,leerajin,0.0,D,15.0,10.0,gettelisa,5.0,V,8.0,15.0,apithy-brun,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,2.0,6.0,17.0,25.0,0.333,-8.0,4.0,D/0,D/3,V/5,D/2,V/5,D/2,6.0,D,0.0,5.0,gordontamar,D,2.0,5.0,ilievayoana,V,5.0,1.0,lupeicamari,V,5.0,4.0,pottersophi,D,3.0,5.0,gettelisa,D,2.0,5.0,battaisugar,,,,,
63,64,2.0,PLIEGO Paola,27,UZB,pliegopaola,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,13.0,prikhodkota,2.0,V,15.0,14.0,zhuangcheny,1.0,V,6.0,15.0,pusztailiza,-9.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.0,5.0,15.0,22.0,0.2,-7.0,6.0,V/5,D/2,D/1,D/3,D/4,,5.0,D,4.0,5.0,lamhinwai,D,2.0,5.0,passaroeloi,V,5.0,2.0,MIHAILOVA Ana,D,3.0,5.0,paizimarina,D,1.0,5.0,kaspiarovic,,,,,,,,,
64,65,1.0,LINDER Kara,21,USA,linderkara,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,10.0,15.0,hengjulietj,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,5.0,6.0,28.0,16.0,0.833,12.0,5.0,V/5,D/3,V/5,V/5,V/5,V/5,6.0,D,3.0,5.0,erbilnisanu,V,5.0,4.0,fukushimash,V,5.0,1.0,syntychakie,V,5.0,2.0,szucsluca,V,5.0,0.0,abram-moore,V,5.0,4.0,laurentclar,,,,,
65,66,1.0,ILIEVA Yoana,20,BUL,ilievayoana,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,8.0,15.0,sarybayaige,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,6.0,27.0,15.0,0.833,12.0,5.0,V/5,V/5,V/5,V/5,V/5,D/2,6.0,V,5.0,3.0,gettelisa,V,5.0,2.0,wakitajumi,V,5.0,3.0,gordontamar,D,2.0,5.0,battaisugar,V,5.0,0.0,lupeicamari,V,5.0,2.0,pottersophi,,,,,
66,67,1.0,VONGSAVADY Malina,24,FRA,vongsavadym,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,12.0,15.0,ciaragliaso,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,5.0,6.0,29.0,18.0,0.833,11.0,3.0,V/5,V/5,V/5,V/5,D/4,V/5,6.0,D,4.0,5.0,russofrance,V,5.0,1.0,jeonhayoung,V,5.0,4.0,guoyiqi,V,5.0,4.0,buerkertann,V,5.0,3.0,mavrikakiat,V,5.0,1.0,alexandresc,,,,,
67,68,1.0,PASSARO Eloisa,24,ITA,passaroeloi,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,12.0,15.0,katonarenat,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,4.0,5.0,24.0,11.0,0.8,13.0,2.0,V/5,V/5,D/4,V/5,V/5,,5.0,V,5.0,0.0,mihailovaan,V,5.0,2.0,pliegopaola,D,4.0,5.0,paizimarina,V,5.0,2.0,kaspiarovic,V,5.0,2.0,lamhinwai,,,,,,,,,
68,69,1.0,LASZLO Luca,27,HUN,laszloluca,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,14.0,15.0,jijieishvil,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,4.0,5.0,23.0,11.0,0.8,12.0,2.0,V/5,V/5,V/5,V/5,D/3,,5.0,V,5.0,1.0,lytinaekate,D,3.0,5.0,chadalavada,V,5.0,2.0,looheidiyan,V,5.0,2.0,jeoneunhye,V,5.0,1.0,baldozoemar,,,,,,,,,
69,70,1.0,CLAPIER Faustine,20,FRA,clapierfaus,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,14.0,15.0,watorangeli,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,4.0,5.0,21.0,13.0,0.8,8.0,5.0,D/1,V/5,V/5,V/5,V/5,,5.0,V,5.0,2.0,hernandezel,V,5.0,2.0,mormilechia,V,5.0,2.0,kruegerlea,D,1.0,5.0,leealexandr,V,5.0,2.0,mateimaria,,,,,,,,,
70,71,1.0,CARVALHO Isabela,17,BRA,carvalhoisa,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,14.0,15.0,perezcuenca,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,4.0,5.0,23.0,20.0,0.8,3.0,6.0,V/5,V/5,V/5,V/5,D/3,,5.0,D,3.0,5.0,watorangeli,V,5.0,3.0,daykinkate,V,5.0,4.0,ARPINO Giulia,V,5.0,4.0,iacobfelici,V,5.0,4.0,ponichmaris,,,,,,,,,
71,72,1.0,BATTAI Sugar Katinka,19,HUN,battaisugar,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,13.0,15.0,kakhiani-me,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,4.0,6.0,28.0,14.0,0.667,14.0,7.0,V/5,D/4,V/5,V/5,V/5,D/4,6.0,V,5.0,0.0,gordontamar,D,4.0,5.0,pottersophi,V,5.0,2.0,ilievayoana,D,4.0,5.0,gettelisa,V,5.0,0.0,lupeicamari,V,5.0,2.0,wakitajumi,,,,,
72,73,1.0,KANEKO Yuina,18,JPN,kanekoyuina,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,,,,,,7.0,15.0,sanoyui,-8.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,4.0,6.0,28.0,18.0,0.667,10.0,3.0,V/5,D/4,V/5,D/4,V/5,V/5,6.0,V,5.0,2.0,seojiyeon,D,4.0,5.0,derkumliska,V,5.0,1.0,westwellamy,V,5.0,4.0,jijieishvil,D,4.0,5.0,gimalacmarg,V,5.0,1.0,mpenouklair,,,,,
73,74,1.0,CONTRERAS Patricia,36,VEN,contreraspa,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,10.0,luteatania,5.0,V,8.0,15.0,leealexandr,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,4.0,6.0,26.0,16.0,0.667,10.0,1.0,D/2,V/5,V/5,V/5,D/4,V/5,6.0,V,5.0,0.0,chatzikokki,V,5.0,2.0,corteynsaar,V,5.0,3.0,dospaykarin,V,5.0,1.0,daghfousyas,D,4.0,5.0,fox-gitomer,D,2.0,5.0,linkesi,,,,,
74,75,1.0,GORDON Tamar,18,CAN,gordontamar,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,4.0,herreralara,11.0,V,12.0,15.0,chadalavada,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,6.0,23.0,14.0,0.667,9.0,1.0,V/5,V/5,V/5,D/3,V/5,D/0,6.0,V,5.0,0.0,wakitajumi,D,0.0,5.0,battaisugar,D,3.0,5.0,ilievayoana,V,5.0,1.0,lupeicamari,V,5.0,2.0,pottersophi,V,5.0,1.0,gettelisa,,,,,
75,76,1.0,SZUCS Luca,19,HUN,szucsluca,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,7.0,mpenouklair,8.0,V,9.0,15.0,skarbonkiew,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,4.0,6.0,25.0,18.0,0.667,7.0,7.0,V/5,V/5,V/5,D/3,D/2,V/5,6.0,V,5.0,3.0,syntychakie,V,5.0,0.0,laurentclar,D,2.0,5.0,linderkara,V,5.0,1.0,erbilnisanu,D,3.0,4.0,abram-moore,D,3.0,5.0,fukushimash,,,,,
76,77,1.0,JOHNSON Honor,18,USA,johnsonhono,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,7.0,daghfousyas,8.0,V,12.0,15.0,takashimari,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,4.0,6.0,26.0,20.0,0.667,6.0,4.0,V/5,V/5,V/5,V/5,D/4,D/2,6.0,V,5.0,4.0,coudercanna,V,5.0,2.0,klimavicius,V,5.0,1.0,konstantako,D,4.0,5.0,gasparingiu,V,5.0,3.0,takashimari,D,2.0,5.0,martin-port,,,,,
77,78,1.0,KOBAYASHI Kanae,24,JPN,kobayashika,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,11.0,laurentclar,4.0,V,2.0,15.0,ozakiseri,-13.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,4.0,6.0,28.0,23.0,0.667,5.0,4.0,V/5,D/4,D/4,V/5,V/5,V/5,6.0,V,5.0,4.0,lupuandreea,V,5.0,3.0,vasilevaver,D,4.0,5.0,christeaart,V,5.0,2.0,venturamari,D,4.0,5.0,balzersara,V,5.0,4.0,skarbonkiew,,,,,
78,79,1.0,GETTE Lisa,21,GER,gettelisa,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,11.0,venturamari,4.0,V,10.0,15.0,wakitajumi,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,4.0,6.0,24.0,19.0,0.667,5.0,2.0,D/1,V/5,V/5,D/3,V/5,V/5,6.0,D,3.0,5.0,ilievayoana,V,5.0,2.0,lupeicamari,V,5.0,0.0,pottersophi,V,5.0,4.0,battaisugar,V,5.0,3.0,wakitajumi,D,1.0,5.0,gordontamar,,,,,
79,79,1.0,LIN Kesi,21,CHN,linkesi,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,14.0,kehlizohran,1.0,V,10.0,15.0,kimjeongmi,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,4.0,6.0,24.0,19.0,0.667,5.0,2.0,V/5,V/5,V/5,D/2,D/2,V/5,6.0,D,2.0,5.0,dospaykarin,V,5.0,2.0,daghfousyas,D,2.0,5.0,fox-gitomer,V,5.0,3.0,corteynsaar,V,5.0,2.0,chatzikokki,V,5.0,2.0,contreraspa,,,,,
80,81,1.0,KIMURA Marino,29,JPN,kimuramarin,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,10.0,vasilevaver,5.0,V,13.0,15.0,fukushimash,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,4.0,6.0,28.0,24.0,0.667,4.0,5.0,V/5,V/5,D/4,D/4,V/5,V/5,6.0,V,5.0,4.0,vutovateodo,D,4.0,5.0,noutchasara,V,5.0,2.0,beltranroja,V,5.0,4.0,rotiliclaud,D,4.0,5.0,kimjeongmi,V,5.0,4.0,apostolopou,,,,,
81,82,1.0,ZHUANG Chenyi,21,CHN,zhuangcheny,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,13.0,abram-moore,2.0,V,14.0,15.0,pliegopaola,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,4.0,6.0,22.0,18.0,0.667,4.0,4.0,D/2,D/0,V/5,V/5,V/5,V/5,6.0,D,2.0,5.0,leerajin,V,5.0,3.0,maxwellcait,V,5.0,2.0,chatzakouka,V,5.0,0.0,fraatzkrees,D,0.0,5.0,cieslarzuza,V,5.0,3.0,katonarenat,,,,,
82,83,1.0,ERBIL Nisanur,18,TUR,erbilnisanu,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,guoyiqi,7.0,V,14.0,15.0,greenbaumat,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,4.0,6.0,23.0,20.0,0.667,3.0,2.0,V/5,V/5,D/2,V/5,V/5,D/1,6.0,V,5.0,3.0,linderkara,V,5.0,2.0,abram-moore,V,5.0,2.0,laurentclar,D,1.0,5.0,szucsluca,D,2.0,5.0,fukushimash,V,5.0,3.0,syntychakie,,,,,
83,84,1.0,GALLARDO Itziar,22,ESP,gallardoitz,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,11.0,gonzalezcas,4.0,V,4.0,15.0,hramovaolga,-11.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,3.0,5.0,19.0,12.0,0.6,7.0,3.0,V/5,D/1,V/5,D/3,V/5,,5.0,V,5.0,0.0,corbyjessic,V,5.0,1.0,brind'amour,D,3.0,5.0,gonzalezcas,D,1.0,5.0,garganorebe,V,5.0,1.0,bolshakovav,,,,,,,,,
84,85,1.0,TARICCO Benedetta,20,ITA,tariccobene,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,11.0,mormilechia,4.0,V,10.0,15.0,lucariniluc,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,3.0,5.0,19.0,18.0,0.6,1.0,5.0,V/5,V/5,D/4,D/0,V/5,,5.0,V,5.0,3.0,perezcuenca,D,0.0,5.0,sanoyui,D,4.0,5.0,tartakovsky,V,5.0,3.0,leejoliekar,V,5.0,2.0,luteatania,,,,,,,,,
85,86,1.0,KARIMOVA Sabina,34,AZE,karimovasab,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,iacobfelici,7.0,V,12.0,15.0,tartakovsky,-3.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,3.0,6.0,27.0,17.0,0.5,10.0,2.0,V/5,V/5,D/4,D/4,D/4,V/5,6.0,D,4.0,5.0,prikhodkota,V,5.0,1.0,kehlizohran,D,4.0,5.0,nazlymovtat,V,5.0,0.0,lauwingyi,D,4.0,5.0,dicarloales,V,5.0,1.0,kourousiann,,,,,
86,87,1.0,LUPU Andreea,23,ROU,lupuandreea,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,8.0,ponichmaris,7.0,V,5.0,15.0,jeoneunhye,-10.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,3.0,6.0,25.0,20.0,0.5,5.0,1.0,D/2,V/5,D/4,D/4,V/5,V/5,6.0,D,4.0,5.0,kobayashika,V,5.0,3.0,skarbonkiew,D,4.0,5.0,vasilevaver,V,5.0,1.0,christeaart,V,5.0,1.0,venturamari,D,2.0,5.0,balzersara,,,,,
87,88,1.0,CORTEYN Saartje,22,BEL,corteynsaar,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,9.0,potz-nagyfa,6.0,V,13.0,15.0,nazlymovtat,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,3.0,6.0,21.0,19.0,0.5,2.0,7.0,D/2,D/3,V/5,V/5,V/5,D/1,6.0,D,2.0,5.0,contreraspa,D,1.0,5.0,fox-gitomer,V,5.0,2.0,dospaykarin,D,3.0,5.0,linkesi,V,5.0,2.0,daghfousyas,V,5.0,0.0,chatzikokki,,,,,
88,89,1.0,CHU Wing Kiu,21,HKG,chuwingkiu,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,13.0,derkumliska,2.0,V,6.0,15.0,fuying,-9.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,3.0,6.0,19.0,21.0,0.5,-2.0,2.0,V/5,D/4,D/0,V/5,V/5,D/0,6.0,V,5.0,2.0,leekarmoon,D,4.0,5.0,davisalexan,V,5.0,2.0,palaskaagni,D,0.0,5.0,kozaczukmal,D,0.0,5.0,kosefatmaze,V,5.0,2.0,ozakiseri,,,,,
89,90,1.0,BUERKERT Anna-Lena,22,GER,buerkertann,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,10.0,brayjenna,5.0,V,9.0,15.0,noutchasara,-6.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,3.0,6.0,23.0,26.0,0.5,-3.0,1.0,D/1,D/4,V/5,V/5,D/3,V/5,6.0,V,5.0,4.0,guoyiqi,V,5.0,3.0,alexandresc,V,5.0,4.0,mavrikakiat,D,4.0,5.0,vongsavadym,D,3.0,5.0,russofrance,D,1.0,5.0,jeonhayoung,,,,,
90,91,1.0,ARPINO Giulia,22,ITA,arpinogiuli,Coupe du Monde,Athènes,2022-03-04,S,S,F,I,A,15.0,9.0,mayingjia,6.0,V,13.0,15.0,boudiafsaou,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,2.0,5.0,21.0,20.0,0.4,1.0,1.0,V/5,D/4,D/3,V/5,D/4,,5.0,V,5.0,3.0,daykinkate,D,4.0,5.0,ponichmaris,D,4.0,5.0,carvalhoisa,V,5.0,2.0,watorangeli,D,3.0,5.0,iacobfelici,,,,,,,,,
