,final_pos,points,name,age,country,id,competition,place,date,category,weapon,gender,event,type,td_pre256,tr_pre256,opp_pre256,match_dif_pre256,match_res_pre256,td_pre128,tr_pre128,opp_pre128,match_dif_pre128,match_res_pre128,td_pre64,tr_pre64,opp_pre64,match_dif_pre64,match_res_pre64,td_t64,tr_t64,opp_t64,match_dif_t64,match_res_t64,td_t32,tr_t32,opp_t32,match_dif_t32,match_res_t32,td_t16,tr_t16,opp_t16,match_dif_t16,match_res_t16,td_t8,tr_t8,opp_t8,match_dif_t8,match_res_t8,td_semi,tr_semi,opp_semi,match_dif_semi,match_res_semi,td_final,tr_final,opp_final,match_dif_final,match_res_final,rank_poule,poule_vict,M,td_polues,tr_poules,poule_ind,p_diff,poule_order,p1,p2,p3,p4,p5,p6,p_matches,p1_result,p1_td,p1_tr,p1_opp,p2_result,p2_td,p2_tr,p2_opp,p3_result,p3_td,p3_tr,p3_opp,p4_result,p4_td,p4_tr,p4_opp,p5_result,p5_td,p5_tr,p5_opp,p6_result,p6_td,p6_tr,p6_opp
534,78.0,1.0,WEBB Jonathan,26.0,GBR,webbjonatha,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,13.0,mackiewicza,2.0,V,13.0,15.0,patricejean,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,4.0,6.0,23.0,21.0,0.667,2.0,4.0,D/1,V/5,V/5,V/5,V/5,D/2,6.0,D,1.0,5.0,lopezdeguer,V,5.0,3.0,rostomali,V,5.0,2.0,bonifaciogu,V,5.0,2.0,katohibiki,V,5.0,4.0,gallomichel,D,2.0,5.0,sattarkhann
535,79.0,1.0,ARMIJO Gabriel,28.0,USA,armijogabri,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,11.0,dickjadryn,4.0,V,5.0,15.0,yoshidakent,-10.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,4.0,6.0,21.0,19.0,0.667,2.0,5.0,V/5,D/1,V/5,V/5,V/5,D/0,6.0,D,1.0,5.0,nerimatteo,V,5.0,2.0,elsissyziad,V,5.0,2.0,wattcaspian,D,0.0,5.0,yoshidatamo,V,5.0,1.0,fernandezbl,V,5.0,4.0,martinethom
536,80.0,1.0,TE VELDE Noah,21.0,USA,teveldenoah,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,7.0,rakhmanalim,8.0,V,6.0,15.0,hoszelongaa,-9.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,4.0,6.0,22.0,23.0,0.667,-1.0,5.0,D/1,V/5,V/5,D/1,V/5,V/5,6.0,V,5.0,4.0,broniszewsk,D,1.0,5.0,amermohamed,D,1.0,5.0,colleauchar,V,5.0,3.0,abdulkareem,V,5.0,2.0,kutchukhidz,V,5.0,4.0,humenvasyl
537,81.0,1.0,CHOW Chung Hei,20.0,HKG,chowchunghe,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,6.0,shindeabhay,9.0,V,10.0,15.0,rabbkriszti,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,3.0,5.0,21.0,16.0,0.6,5.0,6.0,V/5,V/5,D/2,V/5,D/4,D/0,6.0,D,2.0,5.0,yamanfurkan,D,0.0,0.0,iliasznicol,V,5.0,0.0,izemademabd,V,5.0,3.0,cauchonfran,V,5.0,3.0,kuralbekuly,D,4.0,0.0,iliasznicol
538,82.0,1.0,HOSHINO Kento,24.0,JPN,hoshinokent,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,11.0,doddoandrew,4.0,V,6.0,15.0,hryciukszym,-9.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,3.0,5.0,19.0,15.0,0.6,4.0,4.0,V/5,D/1,V/5,D/0,V/5,D/3,6.0,V,5.0,5.0,elarabymaze,D,0.0,0.0,caballeroro,V,5.0,2.0,gougouliaso,V,5.0,1.0,tcheishvili,D,1.0,5.0,rabbkriszti,D,3.0,5.0,nuccioricca
539,83.0,1.0,AYMAN Mostafa,24.0,EGY,aymanmostaf,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,11.0,wangshi,4.0,V,10.0,15.0,kempflorenz,-5.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,3.0,6.0,25.0,17.0,0.5,8.0,2.0,D/3,V/5,V/5,D/4,D/3,V/5,6.0,D,4.0,5.0,tsapyuriy,V,5.0,0.0,saronmitche,D,3.0,5.0,tokunankent,V,5.0,0.0,howesnichol,V,5.0,2.0,changchihin,D,3.0,5.0,fotouhimoha
540,83.0,1.0,FOSCHINI Gabriele,32.0,ITA,foschinigab,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,8.0,alshamlanba,7.0,V,14.0,15.0,nerimatteo,-1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,3.0,6.0,25.0,17.0,0.5,8.0,6.0,V/5,D/3,V/5,V/5,D/3,D/4,6.0,V,5.0,1.0,boothzaheer,D,4.0,5.0,tsumorishid,D,3.0,5.0,chanlokheir,V,5.0,1.0,sarkissyana,V,5.0,0.0,abderrahman,D,3.0,5.0,tsumorishid
541,85.0,1.0,CHIARA Angelo,22.0,CAN,chiaraangel,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,6.0,desrosierso,9.0,V,8.0,15.0,kindlerfred,-7.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,3.0,6.0,21.0,18.0,0.5,3.0,2.0,D/1,V/5,D/2,V/5,V/5,D/3,6.0,V,5.0,3.0,moatazadham,V,5.0,0.0,samakemaham,V,5.0,0.0,ainoucheada,D,3.0,5.0,moranyago,D,2.0,5.0,mignuzzigia,D,1.0,5.0,yanyinghui
542,86.0,1.0,SARKISSYAN Artyom,23.0,KAZ,sarkissyana,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,9.0,sattarkhann,6.0,V,13.0,15.0,zeagibran,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,3.0,6.0,20.0,17.0,0.5,3.0,4.0,V/5,D/2,V/5,V/5,D/1,D/2,6.0,V,5.0,1.0,abderrahman,V,5.0,1.0,seitztom,V,5.0,0.0,boothzaheer,D,1.0,5.0,foschinigab,D,2.0,5.0,chanlokheir,D,2.0,5.0,tsumorishid
543,87.0,1.0,LOW Ho Tin,30.0,HKG,lowhotin,Coupe du Monde,Alger,2022-11-10 00:00:00,S,S,M,I,A,,,,,,15.0,11.0,moranyago,4.0,V,13.0,15.0,fotouhimoha,-2.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,3.0,6.0,23.0,21.0,0.5,2.0,7.0,D/4,V/5,V/5,D/1,D/3,V/5,6.0,D,4.0,5.0,ishiigo,V,5.0,1.0,archvadzeva,D,3.0,5.0,zhuzhongtia,V,5.0,4.0,alshamlanyo,D,1.0,1.0,rakhmanalim,D,1.0,5.0,ferjaniahme
